precinct,date,citation_issued
E,2013-01-07,71
E,2013-01-14,78
E,2013-01-21,98
E,2013-01-28,76
E,2013-02-04,62
E,2013-02-11,70
E,2013-02-18,79
E,2013-02-25,44
E,2013-03-04,89
E,2013-03-11,65
E,2013-03-18,65
E,2013-03-25,41
E,2013-04-01,53
E,2013-04-08,56
E,2013-04-15,52
E,2013-04-22,44
E,2013-04-29,51
E,2013-05-06,68
E,2013-05-13,89
E,2013-05-20,49
E,2013-05-27,43
E,2013-06-03,60
E,2013-06-10,73
E,2013-06-17,69
E,2013-06-24,60
E,2013-07-01,45
E,2013-07-08,64
E,2013-07-15,43
E,2013-07-22,57
E,2013-07-29,41
E,2013-08-05,59
E,2013-08-12,63
E,2013-08-19,89
E,2013-08-26,47
E,2013-09-02,52
E,2013-09-09,57
E,2013-09-16,65
E,2013-09-23,74
E,2013-09-30,59
E,2013-10-07,60
E,2013-10-14,51
E,2013-10-21,58
E,2013-10-28,68
E,2013-11-04,55
E,2013-11-11,65
E,2013-11-18,107
E,2013-11-25,73
E,2013-12-02,66
E,2013-12-09,100
E,2013-12-16,97
E,2013-12-23,105
E,2013-12-30,66
E,2014-01-06,96
E,2014-01-13,85
E,2014-01-20,83
E,2014-01-27,106
E,2014-02-03,67
E,2014-02-10,60
E,2014-02-17,74
E,2014-02-24,51
E,2014-03-03,70
E,2014-03-10,61
E,2014-03-17,64
E,2014-03-24,37
E,2014-03-31,82
E,2014-04-07,76
E,2014-04-14,54
E,2014-04-21,53
E,2014-04-28,51
E,2014-05-05,52
E,2014-05-12,55
E,2014-05-19,72
E,2014-05-26,72
E,2014-06-02,54
E,2014-06-09,60
E,2014-06-16,73
E,2014-06-23,60
E,2014-06-30,76
E,2014-07-07,77
E,2014-07-14,62
E,2014-07-21,52
E,2014-07-28,56
E,2014-08-04,65
E,2014-08-11,53
E,2014-08-18,53
E,2014-08-25,81
E,2014-09-01,59
E,2014-09-08,26
E,2014-09-15,66
E,2014-09-22,61
E,2014-09-29,65
E,2014-10-06,55
E,2014-10-13,47
E,2014-10-20,83
E,2014-10-27,92
E,2014-11-03,66
E,2014-11-10,70
E,2014-11-17,57
E,2014-11-24,83
E,2014-12-01,43
E,2014-12-08,44
E,2014-12-15,70
E,2014-12-22,90
E,2014-12-29,60
E,2015-01-05,121
E,2015-01-12,117
E,2015-01-19,120
E,2015-01-26,112
E,2015-02-02,126
E,2015-02-09,120
E,2015-02-16,93
E,2015-02-23,83
E,2015-03-02,94
E,2015-03-09,90
E,2015-03-16,94
E,2015-03-23,101
E,2015-03-30,81
E,2015-04-06,82
E,2015-04-13,107
E,2015-04-20,69
E,2015-04-27,83
E,2015-05-04,73
E,2015-05-11,88
E,2015-05-18,79
E,2015-05-25,68
E,2015-06-01,59
E,2015-06-08,71
E,2015-06-15,70
E,2015-06-22,88
E,2015-06-29,61
E,2015-07-06,64
E,2015-07-13,67
E,2015-07-20,85
E,2015-07-27,79
E,2015-08-03,84
E,2015-08-10,114
E,2015-08-17,100
E,2015-08-24,114
E,2015-08-31,88
E,2015-09-07,112
E,2015-09-14,72
E,2015-09-21,70
E,2015-09-28,63
E,2015-10-05,95
E,2015-10-12,105
E,2015-10-19,113
E,2015-10-26,107
E,2015-11-02,81
E,2015-11-09,52
E,2015-11-16,76
E,2015-11-23,100
E,2015-11-30,82
E,2015-12-07,104
E,2015-12-14,50
E,2015-12-21,56
E,2015-12-28,69
E,2016-01-04,46
N,2013-01-07,71
N,2013-01-14,63
N,2013-01-21,36
N,2013-01-28,51
N,2013-02-04,57
N,2013-02-11,52
N,2013-02-18,35
N,2013-02-25,46
N,2013-03-04,57
N,2013-03-11,52
N,2013-03-18,42
N,2013-03-25,43
N,2013-04-01,47
N,2013-04-08,57
N,2013-04-15,38
N,2013-04-22,36
N,2013-04-29,39
N,2013-05-06,49
N,2013-05-13,37
N,2013-05-20,38
N,2013-05-27,56
N,2013-06-03,63
N,2013-06-10,51
N,2013-06-17,57
N,2013-06-24,42
N,2013-07-01,66
N,2013-07-08,70
N,2013-07-15,55
N,2013-07-22,52
N,2013-07-29,49
N,2013-08-05,78
N,2013-08-12,68
N,2013-08-19,54
N,2013-08-26,45
N,2013-09-02,59
N,2013-09-09,48
N,2013-09-16,41
N,2013-09-23,54
N,2013-09-30,50
N,2013-10-07,47
N,2013-10-14,63
N,2013-10-21,47
N,2013-10-28,38
N,2013-11-04,51
N,2013-11-11,47
N,2013-11-18,54
N,2013-11-25,49
N,2013-12-02,53
N,2013-12-09,58
N,2013-12-16,55
N,2013-12-23,64
N,2013-12-30,55
N,2014-01-06,65
N,2014-01-13,59
N,2014-01-20,55
N,2014-01-27,79
N,2014-02-03,52
N,2014-02-10,63
N,2014-02-17,61
N,2014-02-24,48
N,2014-03-03,40
N,2014-03-10,30
N,2014-03-17,37
N,2014-03-24,74
N,2014-03-31,40
N,2014-04-07,33
N,2014-04-14,40
N,2014-04-21,34
N,2014-04-28,54
N,2014-05-05,41
N,2014-05-12,57
N,2014-05-19,40
N,2014-05-26,37
N,2014-06-02,41
N,2014-06-09,40
N,2014-06-16,65
N,2014-06-23,41
N,2014-06-30,42
N,2014-07-07,40
N,2014-07-14,36
N,2014-07-21,43
N,2014-07-28,28
N,2014-08-04,36
N,2014-08-11,28
N,2014-08-18,19
N,2014-08-25,21
N,2014-09-01,43
N,2014-09-08,36
N,2014-09-15,41
N,2014-09-22,30
N,2014-09-29,37
N,2014-10-06,34
N,2014-10-13,23
N,2014-10-20,42
N,2014-10-27,51
N,2014-11-03,64
N,2014-11-10,43
N,2014-11-17,52
N,2014-11-24,48
N,2014-12-01,26
N,2014-12-08,30
N,2014-12-15,38
N,2014-12-22,23
N,2014-12-29,35
N,2015-01-05,88
N,2015-01-12,75
N,2015-01-19,59
N,2015-01-26,59
N,2015-02-02,71
N,2015-02-09,70
N,2015-02-16,92
N,2015-02-23,69
N,2015-03-02,53
N,2015-03-09,58
N,2015-03-16,67
N,2015-03-23,81
N,2015-03-30,66
N,2015-04-06,57
N,2015-04-13,63
N,2015-04-20,60
N,2015-04-27,61
N,2015-05-04,48
N,2015-05-11,38
N,2015-05-18,56
N,2015-05-25,62
N,2015-06-01,60
N,2015-06-08,30
N,2015-06-15,33
N,2015-06-22,26
N,2015-06-29,28
N,2015-07-06,38
N,2015-07-13,24
N,2015-07-20,20
N,2015-07-27,20
N,2015-08-03,30
N,2015-08-10,30
N,2015-08-17,40
N,2015-08-24,27
N,2015-08-31,27
N,2015-09-07,37
N,2015-09-14,48
N,2015-09-21,33
N,2015-09-28,51
N,2015-10-05,27
N,2015-10-12,36
N,2015-10-19,32
N,2015-10-26,55
N,2015-11-02,40
N,2015-11-09,38
N,2015-11-16,24
N,2015-11-23,25
N,2015-11-30,26
N,2015-12-07,24
N,2015-12-14,30
N,2015-12-21,27
N,2015-12-28,29
N,2016-01-04,15
S,2013-01-07,112
S,2013-01-14,116
S,2013-01-21,100
S,2013-01-28,98
S,2013-02-04,66
S,2013-02-11,85
S,2013-02-18,94
S,2013-02-25,133
S,2013-03-04,129
S,2013-03-11,124
S,2013-03-18,110
S,2013-03-25,83
S,2013-04-01,111
S,2013-04-08,86
S,2013-04-15,62
S,2013-04-22,99
S,2013-04-29,91
S,2013-05-06,93
S,2013-05-13,90
S,2013-05-20,93
S,2013-05-27,54
S,2013-06-03,97
S,2013-06-10,79
S,2013-06-17,87
S,2013-06-24,90
S,2013-07-01,84
S,2013-07-08,78
S,2013-07-15,94
S,2013-07-22,92
S,2013-07-29,86
S,2013-08-05,91
S,2013-08-12,57
S,2013-08-19,71
S,2013-08-26,79
S,2013-09-02,80
S,2013-09-09,69
S,2013-09-16,85
S,2013-09-23,57
S,2013-09-30,69
S,2013-10-07,102
S,2013-10-14,105
S,2013-10-21,140
S,2013-10-28,88
S,2013-11-04,88
S,2013-11-11,83
S,2013-11-18,92
S,2013-11-25,70
S,2013-12-02,62
S,2013-12-09,69
S,2013-12-16,92
S,2013-12-23,39
S,2013-12-30,55
S,2014-01-06,61
S,2014-01-13,65
S,2014-01-20,45
S,2014-01-27,65
S,2014-02-03,27
S,2014-02-10,31
S,2014-02-17,41
S,2014-02-24,46
S,2014-03-03,51
S,2014-03-10,55
S,2014-03-17,53
S,2014-03-24,40
S,2014-03-31,53
S,2014-04-07,44
S,2014-04-14,56
S,2014-04-21,45
S,2014-04-28,51
S,2014-05-05,76
S,2014-05-12,81
S,2014-05-19,52
S,2014-05-26,61
S,2014-06-02,83
S,2014-06-09,79
S,2014-06-16,79
S,2014-06-23,83
S,2014-06-30,105
S,2014-07-07,102
S,2014-07-14,89
S,2014-07-21,69
S,2014-07-28,96
S,2014-08-04,60
S,2014-08-11,71
S,2014-08-18,79
S,2014-08-25,47
S,2014-09-01,50
S,2014-09-08,56
S,2014-09-15,72
S,2014-09-22,57
S,2014-09-29,52
S,2014-10-06,63
S,2014-10-13,82
S,2014-10-20,88
S,2014-10-27,71
S,2014-11-03,83
S,2014-11-10,94
S,2014-11-17,108
S,2014-11-24,82
S,2014-12-01,69
S,2014-12-08,77
S,2014-12-15,62
S,2014-12-22,86
S,2014-12-29,50
S,2015-01-05,78
S,2015-01-12,95
S,2015-01-19,73
S,2015-01-26,84
S,2015-02-02,92
S,2015-02-09,95
S,2015-02-16,93
S,2015-02-23,66
S,2015-03-02,70
S,2015-03-09,113
S,2015-03-16,78
S,2015-03-23,102
S,2015-03-30,96
S,2015-04-06,74
S,2015-04-13,80
S,2015-04-20,88
S,2015-04-27,54
S,2015-05-04,65
S,2015-05-11,65
S,2015-05-18,67
S,2015-05-25,79
S,2015-06-01,63
S,2015-06-08,50
S,2015-06-15,79
S,2015-06-22,51
S,2015-06-29,79
S,2015-07-06,78
S,2015-07-13,85
S,2015-07-20,58
S,2015-07-27,66
S,2015-08-03,61
S,2015-08-10,52
S,2015-08-17,67
S,2015-08-24,44
S,2015-08-31,65
S,2015-09-07,75
S,2015-09-14,65
S,2015-09-21,57
S,2015-09-28,53
S,2015-10-05,59
S,2015-10-12,78
S,2015-10-19,88
S,2015-10-26,73
S,2015-11-02,64
S,2015-11-09,96
S,2015-11-16,105
S,2015-11-23,95
S,2015-11-30,98
S,2015-12-07,81
S,2015-12-14,94
S,2015-12-21,94
S,2015-12-28,90
S,2016-01-04,38
SW,2013-01-07,44
SW,2013-01-14,35
SW,2013-01-21,37
SW,2013-01-28,30
SW,2013-02-04,25
SW,2013-02-11,21
SW,2013-02-18,28
SW,2013-02-25,32
SW,2013-03-04,21
SW,2013-03-11,29
SW,2013-03-18,34
SW,2013-03-25,25
SW,2013-04-01,34
SW,2013-04-08,23
SW,2013-04-15,25
SW,2013-04-22,37
SW,2013-04-29,39
SW,2013-05-06,40
SW,2013-05-13,33
SW,2013-05-20,25
SW,2013-05-27,26
SW,2013-06-03,36
SW,2013-06-10,41
SW,2013-06-17,42
SW,2013-06-24,26
SW,2013-07-01,24
SW,2013-07-08,51
SW,2013-07-15,36
SW,2013-07-22,26
SW,2013-07-29,29
SW,2013-08-05,41
SW,2013-08-12,59
SW,2013-08-19,39
SW,2013-08-26,46
SW,2013-09-02,58
SW,2013-09-09,38
SW,2013-09-16,27
SW,2013-09-23,43
SW,2013-09-30,37
SW,2013-10-07,34
SW,2013-10-14,35
SW,2013-10-21,47
SW,2013-10-28,36
SW,2013-11-04,39
SW,2013-11-11,39
SW,2013-11-18,35
SW,2013-11-25,38
SW,2013-12-02,35
SW,2013-12-09,31
SW,2013-12-16,26
SW,2013-12-23,29
SW,2013-12-30,24
SW,2014-01-06,28
SW,2014-01-13,27
SW,2014-01-20,23
SW,2014-01-27,33
SW,2014-02-03,13
SW,2014-02-10,20
SW,2014-02-17,28
SW,2014-02-24,21
SW,2014-03-03,28
SW,2014-03-10,27
SW,2014-03-17,24
SW,2014-03-24,21
SW,2014-03-31,22
SW,2014-04-07,24
SW,2014-04-14,29
SW,2014-04-21,17
SW,2014-04-28,30
SW,2014-05-05,28
SW,2014-05-12,25
SW,2014-05-19,47
SW,2014-05-26,18
SW,2014-06-02,34
SW,2014-06-09,27
SW,2014-06-16,24
SW,2014-06-23,51
SW,2014-06-30,34
SW,2014-07-07,58
SW,2014-07-14,31
SW,2014-07-21,30
SW,2014-07-28,36
SW,2014-08-04,57
SW,2014-08-11,22
SW,2014-08-18,43
SW,2014-08-25,32
SW,2014-09-01,22
SW,2014-09-08,31
SW,2014-09-15,32
SW,2014-09-22,26
SW,2014-09-29,47
SW,2014-10-06,39
SW,2014-10-13,31
SW,2014-10-20,40
SW,2014-10-27,21
SW,2014-11-03,35
SW,2014-11-10,30
SW,2014-11-17,29
SW,2014-11-24,14
SW,2014-12-01,15
SW,2014-12-08,20
SW,2014-12-15,27
SW,2014-12-22,18
SW,2014-12-29,11
SW,2015-01-05,18
SW,2015-01-12,44
SW,2015-01-19,14
SW,2015-01-26,20
SW,2015-02-02,33
SW,2015-02-09,29
SW,2015-02-16,24
SW,2015-02-23,24
SW,2015-03-02,34
SW,2015-03-09,41
SW,2015-03-16,28
SW,2015-03-23,25
SW,2015-03-30,34
SW,2015-04-06,13
SW,2015-04-13,23
SW,2015-04-20,22
SW,2015-04-27,23
SW,2015-05-04,10
SW,2015-05-11,20
SW,2015-05-18,16
SW,2015-05-25,18
SW,2015-06-01,16
SW,2015-06-08,24
SW,2015-06-15,21
SW,2015-06-22,17
SW,2015-06-29,17
SW,2015-07-06,17
SW,2015-07-13,19
SW,2015-07-20,15
SW,2015-07-27,13
SW,2015-08-03,21
SW,2015-08-10,24
SW,2015-08-17,16
SW,2015-08-24,15
SW,2015-08-31,12
SW,2015-09-07,23
SW,2015-09-14,19
SW,2015-09-21,16
SW,2015-09-28,11
SW,2015-10-05,23
SW,2015-10-12,37
SW,2015-10-19,20
SW,2015-10-26,21
SW,2015-11-02,24
SW,2015-11-09,19
SW,2015-11-16,25
SW,2015-11-23,28
SW,2015-11-30,18
SW,2015-12-07,19
SW,2015-12-14,29
SW,2015-12-21,19
SW,2015-12-28,18
SW,2016-01-04,10
W,2013-01-07,72
W,2013-01-14,81
W,2013-01-21,75
W,2013-01-28,58
W,2013-02-04,95
W,2013-02-11,102
W,2013-02-18,123
W,2013-02-25,90
W,2013-03-04,87
W,2013-03-11,69
W,2013-03-18,61
W,2013-03-25,77
W,2013-04-01,88
W,2013-04-08,96
W,2013-04-15,87
W,2013-04-22,78
W,2013-04-29,89
W,2013-05-06,88
W,2013-05-13,99
W,2013-05-20,76
W,2013-05-27,84
W,2013-06-03,88
W,2013-06-10,117
W,2013-06-17,97
W,2013-06-24,84
W,2013-07-01,124
W,2013-07-08,141
W,2013-07-15,97
W,2013-07-22,83
W,2013-07-29,101
W,2013-08-05,75
W,2013-08-12,85
W,2013-08-19,74
W,2013-08-26,78
W,2013-09-02,101
W,2013-09-09,93
W,2013-09-16,87
W,2013-09-23,93
W,2013-09-30,126
W,2013-10-07,102
W,2013-10-14,116
W,2013-10-21,141
W,2013-10-28,121
W,2013-11-04,131
W,2013-11-11,100
W,2013-11-18,131
W,2013-11-25,148
W,2013-12-02,95
W,2013-12-09,99
W,2013-12-16,83
W,2013-12-23,104
W,2013-12-30,116
W,2014-01-06,77
W,2014-01-13,96
W,2014-01-20,113
W,2014-01-27,84
W,2014-02-03,95
W,2014-02-10,82
W,2014-02-17,122
W,2014-02-24,82
W,2014-03-03,120
W,2014-03-10,115
W,2014-03-17,123
W,2014-03-24,92
W,2014-03-31,132
W,2014-04-07,86
W,2014-04-14,75
W,2014-04-21,79
W,2014-04-28,87
W,2014-05-05,94
W,2014-05-12,100
W,2014-05-19,48
W,2014-05-26,124
W,2014-06-02,112
W,2014-06-09,62
W,2014-06-16,163
W,2014-06-23,72
W,2014-06-30,113
W,2014-07-07,122
W,2014-07-14,93
W,2014-07-21,71
W,2014-07-28,83
W,2014-08-04,96
W,2014-08-11,102
W,2014-08-18,70
W,2014-08-25,79
W,2014-09-01,82
W,2014-09-08,96
W,2014-09-15,105
W,2014-09-22,126
W,2014-09-29,46
W,2014-10-06,89
W,2014-10-13,99
W,2014-10-20,88
W,2014-10-27,77
W,2014-11-03,96
W,2014-11-10,137
W,2014-11-17,140
W,2014-11-24,142
W,2014-12-01,58
W,2014-12-08,62
W,2014-12-15,62
W,2014-12-22,55
W,2014-12-29,53
W,2015-01-05,82
W,2015-01-12,152
W,2015-01-19,126
W,2015-01-26,117
W,2015-02-02,113
W,2015-02-09,87
W,2015-02-16,93
W,2015-02-23,139
W,2015-03-02,129
W,2015-03-09,124
W,2015-03-16,86
W,2015-03-23,86
W,2015-03-30,97
W,2015-04-06,88
W,2015-04-13,80
W,2015-04-20,116
W,2015-04-27,172
W,2015-05-04,90
W,2015-05-11,111
W,2015-05-18,89
W,2015-05-25,85
W,2015-06-01,121
W,2015-06-08,159
W,2015-06-15,112
W,2015-06-22,96
W,2015-06-29,114
W,2015-07-06,121
W,2015-07-13,104
W,2015-07-20,95
W,2015-07-27,96
W,2015-08-03,100
W,2015-08-10,104
W,2015-08-17,111
W,2015-08-24,87
W,2015-08-31,103
W,2015-09-07,154
W,2015-09-14,171
W,2015-09-21,132
W,2015-09-28,139
W,2015-10-05,136
W,2015-10-12,120
W,2015-10-19,99
W,2015-10-26,167
W,2015-11-02,158
W,2015-11-09,128
W,2015-11-16,148
W,2015-11-23,237
W,2015-11-30,101
W,2015-12-07,153
W,2015-12-14,121
W,2015-12-21,121
W,2015-12-28,112
W,2016-01-04,62
